logs/VRP-N499-K020/B1000.ins,2460,2467,2453,2437,2424,2469,2423,2438,2420,2386,
logs/VRP-N499-K020/B10000.ins,23796,23615,24036,23787,24025,23635,24059,23898,23785,24381,
logs/VRP-N499-K020/B100000.ins,237886,238772,233644,239404,240285,244709,238985,235809,240396,239407,
logs/VRP-N499-K020/B2000.ins,4838,4733,4877,4811,4810,4780,4718,4816,4748,4806,
logs/VRP-N499-K020/B20000.ins,47937,48128,47883,48265,47913,47851,48066,48009,48457,47285,
logs/VRP-N499-K020/B200000.ins,471471,474152,484820,480696,478695,476425,479088,475455,480453,478008,
logs/VRP-N499-K020/B4000.ins,9559,9646,9473,9477,9340,9331,9581,9548,9646,9376,
logs/VRP-N499-K020/B40000.ins,96005,96002,95626,95310,97055,96928,96728,95338,95623,96828,
logs/VRP-N499-K020/B5000.ins,11924,12066,11855,11979,12079,12095,11697,11968,12008,11719,
logs/VRP-N499-K020/B50000.ins,120603,121014,121533,121236,119524,121385,120024,121257,122048,119067,
