logs/VRP-N999-K050/B1000.ins,2388,2498,2679,2302,2240,2377,2353,2259,2433,2342,
logs/VRP-N999-K050/B10000.ins,24802,22839,23696,22616,23671,23371,23323,25929,22873,24002,
logs/VRP-N999-K050/B100000.ins,221929,231706,265427,239215,233837,222615,224668,226409,232202,253596,
logs/VRP-N999-K050/B2000.ins,4688,4541,4776,4754,4780,4932,4691,4567,4649,4794,
logs/VRP-N999-K050/B20000.ins,47751,45148,46857,45994,46322,49532,49430,48326,47299,49340,
logs/VRP-N999-K050/B200000.ins,467412,495848,507155,460402,547677,471464,464851,494903,513153,499752,
logs/VRP-N999-K050/B4000.ins,9756,9399,9233,9365,9351,9399,9785,9304,9827,9644,
logs/VRP-N999-K050/B40000.ins,94065,92519,97713,94601,100966,94726,91646,95512,110323,94135,
logs/VRP-N999-K050/B5000.ins,11921,12059,11879,12375,11948,12166,11830,11781,11865,12518,
logs/VRP-N999-K050/B50000.ins,115345,119286,126842,119108,123326,125249,124240,112800,125302,145714,
