logs/VRP-N999-K020/B1000.ins,4977,4956,4859,4922,4957,4982,4975,4931,4896,4959,
logs/VRP-N999-K020/B10000.ins,47983,48254,48626,48590,48147,48761,48782,47665,48019,48642,
logs/VRP-N999-K020/B100000.ins,491327,488773,486162,496689,489305,491422,486239,489191,480501,487074,
logs/VRP-N999-K020/B2000.ins,9785,9760,9810,9763,9785,9717,9674,9769,9786,9747,
logs/VRP-N999-K020/B20000.ins,98341,96525,95942,96203,96123,95683,95877,95838,97225,97853,
logs/VRP-N999-K020/B200000.ins,961659,976653,977366,973808,962931,954872,975505,978403,957947,982637,
logs/VRP-N999-K020/B4000.ins,19497,19396,19286,19241,19488,18866,19041,19547,19399,19453,
logs/VRP-N999-K020/B40000.ins,194405,195975,193425,195247,194485,195477,195764,193418,192139,197089,
logs/VRP-N999-K020/B5000.ins,24244,24456,24675,24549,24390,24110,24227,24583,24319,24467,
logs/VRP-N999-K020/B50000.ins,239582,241108,238610,237939,237883,234391,237175,238541,238956,237206,
