logs/VRP-N499-K050/B1000.ins,1516,1768,1496,1687,1638,1615,1880,1333,1313,1460,
logs/VRP-N499-K050/B10000.ins,13209,20720,22568,16903,16449,16584,17457,14998,15160,13945,
logs/VRP-N499-K050/B100000.ins,177804,138575,156237,146756,181338,138951,174883,129437,144158,153966,
logs/VRP-N499-K050/B2000.ins,2967,3020,3119,2679,3642,2842,3377,3387,2831,3750,
logs/VRP-N499-K050/B20000.ins,26733,31801,27059,28729,27828,32021,34242,26994,26502,25543,
logs/VRP-N499-K050/B200000.ins,334948,284177,293875,329399,289328,365646,242487,296162,313124,356863,
logs/VRP-N499-K050/B4000.ins,5470,7217,7002,5353,5680,7147,5869,7771,5490,5740,
logs/VRP-N499-K050/B40000.ins,63895,59815,56662,71605,71656,73705,78168,53930,61137,51491,
logs/VRP-N499-K050/B5000.ins,7698,11587,6320,7921,9489,7498,7098,8070,9303,9015,
logs/VRP-N499-K050/B50000.ins,73235,74735,73883,78984,75628,89175,87095,93675,106072,79888,
