logs/VRP-N999-K100/B1000.ins,5663,6216,6330,6223,6196,6147,6315,6405,5827,5484,
logs/VRP-N999-K100/B10000.ins,61389,63691,68767,67448,67646,62978,56200,62595,58707,59284,
logs/VRP-N999-K100/B100000.ins,632587,605460,658645,677225,645095,610965,630548,587332,565319,637350,
logs/VRP-N999-K100/B2000.ins,13129,13294,12686,12905,13540,12599,12988,12986,13254,11792,
logs/VRP-N999-K100/B20000.ins,135780,125536,123810,126170,123480,136598,127467,135028,120591,122097,
logs/VRP-N999-K100/B200000.ins,1171578,1244113,1318082,1140893,1275657,1295247,1122345,1228399,1278811,1195254,
logs/VRP-N999-K100/B4000.ins,25118,24849,26735,24947,25212,26499,21512,25970,23841,25492,
logs/VRP-N999-K100/B40000.ins,234645,261176,230185,227328,249744,231636,262198,240196,245084,249828,
logs/VRP-N999-K100/B5000.ins,32032,29999,33937,32424,27910,31362,31890,30314,30246,33887,
logs/VRP-N999-K100/B50000.ins,315162,322918,334676,310222,324113,334189,349857,323924,317392,332856,
